cellid,userid,freq_updates
000392000866,-8736417529269560000,2
009012000871,-8736417529269560000,2
000398000866,-8736417529269560000,2
002941000864,-8736417529269560000,2
024451000891,-8736417529269560000,1
012633004307,-8736417529269560000,1
018164000805,-8736417529269560000,1
025271004343,-8736417529269560000,1
007161000864,-8736417529269560000,1
025291004343,-8736417529269560000,1
033862000865,-8736417529269560000,1
015323004311,-8736417529269560000,1
008123000870,-8736417529269560000,1
024532000863,-8736417529269560000,1
012151000871,-8736417529269560000,1
001026000864,-8736417529269560000,1
030588004361,-8736417529269560000,1
000261001204,-8736417529269560000,1
007167000864,-8736417529269560000,1
012701004307,-8736417529269560000,1
029344000866,-8736417529269560000,1
013193004309,-8736417529269560000,1
002022000871,-8736417529269560000,1
025642000810,-8736417529269560000,1
031984000865,-8736417529269560000,1
023122000805,-8736417529269560000,1
041241002570,-8689899151656250000,11
011241002501,-8689899151656250000,4
012063002506,-8689899151656250000,4
054263001260,-8674980538172590000,12
000082001201,-8674980538172590000,6
000041001204,-8674980538172590000,2
000791005061,-8665194545800730000,2
000721005061,-8665194545800730000,2
001875002822,-8665194545800730000,2
034651002863,-8665194545800730000,1
018972002860,-8665194545800730000,1
000801005061,-8665194545800730000,1
058431002863,-8665194545800730000,1
023702002860,-8665194545800730000,1
031047002864,-8665194545800730000,1
004175002812,-8665194545800730000,1
052173005064,-8665194545800730000,1
000831005061,-8665194545800730000,1
000241002863,-8665194545800730000,1
012419002863,-8665194545800730000,1
010856001560,-8649912550251270000,1
008801000860,-8635872872302780000,15
007013000867,-8635872872302780000,6
011893000868,-8635872872302780000,6
001437000866,-8635872872302780000,6
024126000866,-8635872872302780000,6
005329000867,-8635872872302780000,5
003805000860,-8635872872302780000,5
007012000867,-8635872872302780000,5
003808000860,-8635872872302780000,4
020173000891,-8635872872302780000,4
007281000864,-8635872872302780000,4
007015000867,-8635872872302780000,3
004227000860,-8635872872302780000,3
011896000868,-8635872872302780000,3
011757000864,-8635872872302780000,3
011752000866,-8635872872302780000,3
023576000864,-8635872872302780000,2
000743000870,-8635872872302780000,2
001196000866,-8635872872302780000,2
000674000864,-8635872872302780000,2
001507000860,-8635872872302780000,2
001291000866,-8635872872302780000,1
011161000845,-8635872872302780000,1
021051000845,-8635872872302780000,1
029274000866,-8635872872302780000,1
030234000866,-8635872872302780000,1
011404000841,-8635872872302780000,1
001433000866,-8635872872302780000,1
012655000864,-8635872872302780000,1
001294000866,-8635872872302780000,1
023083000860,-8635872872302780000,1
022961000870,-8635872872302780000,1
000654000864,-8635872872302780000,1
000139000866,-8635872872302780000,1
003802000860,-8635872872302780000,1
002718000866,-8635872872302780000,1
007381000864,-8635872872302780000,1
000906000864,-8635872872302780000,1
008802000860,-8635872872302780000,1
014682000871,-8635872872302780000,1
021571000805,-8635872872302780000,1
026761000821,-8635872872302780000,1
007782000864,-8635872872302780000,1
019378000845,-8635872872302780000,1
000347000865,-8635872872302780000,1
006378000867,-8635872872302780000,1
011757000864,-8633939186771610000,8
013811000805,-8633939186771610000,4
001039000870,-8633939186771610000,4
011556000860,-8633939186771610000,3
030722000805,-8633939186771610000,3
030723000805,-8633939186771610000,3
024731000805,-8633939186771610000,2
021203000810,-8633939186771610000,2
011941000841,-8633939186771610000,2
004091000716,-8633939186771610000,2
011934000841,-8633939186771610000,2
001775000865,-8633939186771610000,2
019362000813,-8633939186771610000,1
000175000865,-8633939186771610000,1
001436000866,-8633939186771610000,1
020643000813,-8633939186771610000,1
000434000864,-8633939186771610000,1
000906000864,-8633939186771610000,1
011838000860,-8633939186771610000,1
012165000871,-8633939186771610000,1
001431000866,-8633939186771610000,1
001307000866,-8633939186771610000,1
000037000870,-8633939186771610000,1
010076000863,-8633939186771610000,1
003198000865,-8633939186771610000,1
002941000864,-8633939186771610000,1
033862000865,-8633939186771610000,1
001031000870,-8633939186771610000,1
021351000851,-8633939186771610000,1
002382000860,-8633939186771610000,1
007383000864,-8633939186771610000,1
000167000864,-8633939186771610000,1
050662000860,-8633939186771610000,1
030211000831,-8633939186771610000,1
007129000865,-8633939186771610000,1
003805000860,-8633939186771610000,1
